Fecha De Venta;País;Continente;Producto;Marca;Categoría;Precio Unidad;Costo Unidad;Cantidad Vendida;Facturación;Costo Venta
miércoles, 3 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 3 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 3 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 3 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 14 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 17 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 25 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 25 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 25 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 25 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 17 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 17 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 3 de agosto de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 3 de agosto de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 28 de septiembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 28 de septiembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 28 de septiembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 6 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 6 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 29 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 20 de diciembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 20 de diciembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 20 de diciembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 9 de enero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 13 de enero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 1 de marzo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 5 de marzo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 4 de mayo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 3 de junio de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 12 de julio de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
